clip_id,category_zh,category,source_dataset,source_url,audio_license,audio_license_url,sha256
ACT-005,动作表演,action_performance,Clotho validation / Freesound preview,https://freesound.org/people/mookie182/sounds/52226,CC BY 3.0,http://creativecommons.org/licenses/by/3.0/,a2deb0cb4835dee58a76946ff15ca1166fcd32c713df1b89f8ad73c9c9757544
EMO-004,情绪表演类,emotion_performance,RAVDESS,,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,8a6f7e1f5a69e805bcdd4fe5c859e972fa3b669cae2f7a7891026a87cef31323
MUS-005,音乐,music,FMA-small,https://github.com/mdeff/fma,Creative Commons Attribution,https://freemusicarchive.org/License_Guide,318828e6fc16d0fe8d6b07001e6c0bc04d26e479fa5d0a467dd998de59eb93ac
SFX-002,音效,sound_effect,Clotho validation / Freesound preview,https://freesound.org/people/VlatkoBlazek/sounds/262903,CC BY 3.0,http://creativecommons.org/licenses/by/3.0/,ca57393d3081e934182002a1cfde117ab0b076d3aed1dbc59c17032dd57aa986
SPK-006,角色对白、旁白,dialogue_narration,LibriSpeech test-clean,https://www.openslr.org/12,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,a99a6ea43eb76ba87c0245d2fa6ae513b64c6ea2bfacfc22296da3b1b331ff7c
STM-I-002,人声、乐器单轨,instrument_stem_candidate,FMA-small,https://github.com/mdeff/fma,Attribution,https://freemusicarchive.org/License_Guide,41d37cefc01931a419dcc7774ca7b0cbb26c936779d14387e98ef4c841f797ac
ACT-011,动作表演,action_performance,Clotho validation / Freesound preview,https://freesound.org/people/cemagar/sounds/120359,CC BY 3.0,http://creativecommons.org/licenses/by/3.0/,0e2bf41359d24d53d549741105cd6cd2dc6572a42ed96737ce3d7648bea11017
EMO-006,情绪表演类,emotion_performance,RAVDESS,,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,4217b235f633a0ffd2051200307a0ad3f592365feffeb6641cd120fd2e119b44
MUS-011,音乐,music,FMA-small,https://github.com/mdeff/fma,Attribution-ShareAlike,https://freemusicarchive.org/License_Guide,4d65d6250e84243bd41473d5ce80d5a05d2f311eab5f6e8f01c1fa1ed65bb57c
SFX-004,音效,sound_effect,Clotho validation / Freesound preview,https://freesound.org/people/Anton/sounds/2690,CC BY 3.0,http://creativecommons.org/licenses/by/3.0/,6ce2d7b6ca5baad57076874449e2b64219599c7635e34e14b6ea2d07e4683269
SPK-007,角色对白、旁白,dialogue_narration,LibriSpeech test-clean,https://www.openslr.org/12,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,86a86a31bf83108c76804cf8e64ea229a029f079ba8412343577e84dafbb2078
STM-I-003,人声、乐器单轨,instrument_stem_candidate,FMA-small,https://github.com/mdeff/fma,Attribution-ShareAlike,https://freemusicarchive.org/License_Guide,a0c28d0f89a93ad3ea80261edff787ab0341e84376542f45b967e0de703520e1
