clip_id,category_zh,category,difficulty,language,duration_seconds,file,sha256,qa_status,qa_flags
ACT-005,动作表演,action_performance,simple,mostly_non_speech,15.0,ACT-005_simple_15s.wav,a2deb0cb4835dee58a76946ff15ca1166fcd32c713df1b89f8ad73c9c9757544,pass,
EMO-004,情绪表演类,emotion_performance,simple,en,15.0,EMO-004_simple_15s.wav,8a6f7e1f5a69e805bcdd4fe5c859e972fa3b669cae2f7a7891026a87cef31323,pass,
MUS-005,音乐,music,simple,unknown_or_music,15.0,MUS-005_simple_15s.wav,318828e6fc16d0fe8d6b07001e6c0bc04d26e479fa5d0a467dd998de59eb93ac,pass,
SFX-002,音效,sound_effect,simple,mostly_non_speech,15.0,SFX-002_simple_15s.wav,ca57393d3081e934182002a1cfde117ab0b076d3aed1dbc59c17032dd57aa986,pass,
SPK-006,角色对白、旁白,dialogue_narration,simple,en,15.0,SPK-006_simple_15s.wav,a99a6ea43eb76ba87c0245d2fa6ae513b64c6ea2bfacfc22296da3b1b331ff7c,pass,
STM-I-002,人声、乐器单轨,instrument_stem_candidate,simple,unknown_or_music,15.0,STM-I-002_simple_15s.wav,41d37cefc01931a419dcc7774ca7b0cbb26c936779d14387e98ef4c841f797ac,pass,
ACT-011,动作表演,action_performance,medium,mostly_non_speech,15.0,ACT-011_medium_15s.wav,0e2bf41359d24d53d549741105cd6cd2dc6572a42ed96737ce3d7648bea11017,pass,
EMO-006,情绪表演类,emotion_performance,simple,en,15.0,EMO-006_simple_15s.wav,4217b235f633a0ffd2051200307a0ad3f592365feffeb6641cd120fd2e119b44,pass,
MUS-011,音乐,music,medium,unknown_or_music,15.0,MUS-011_medium_15s.wav,4d65d6250e84243bd41473d5ce80d5a05d2f311eab5f6e8f01c1fa1ed65bb57c,pass,
SFX-004,音效,sound_effect,simple,mostly_non_speech,15.0,SFX-004_simple_15s.wav,6ce2d7b6ca5baad57076874449e2b64219599c7635e34e14b6ea2d07e4683269,pass,
SPK-007,角色对白、旁白,dialogue_narration,simple,en,15.0,SPK-007_simple_15s.wav,86a86a31bf83108c76804cf8e64ea229a029f079ba8412343577e84dafbb2078,pass,
STM-I-003,人声、乐器单轨,instrument_stem_candidate,medium,unknown_or_music,15.0,STM-I-003_medium_15s.wav,a0c28d0f89a93ad3ea80261edff787ab0341e84376542f45b967e0de703520e1,pass,
ACT-012,动作表演,action_performance,medium,mostly_non_speech,15.0,ACT-012_medium_15s.wav,70f860c13e330791f147be16d5edf4e8c3c2e47eaf621a736dcff7a781c6b304,review,near_silent
EMO-011,情绪表演类,emotion_performance,medium,en,15.0,EMO-011_medium_15s.wav,8df471025c5bd83dbc5b528b7de79715a33d695c73279872aae8cbed4c2d1487,pass,
MUS-014,音乐,music,medium,unknown_or_music,15.0,MUS-014_medium_15s.wav,3b5a83a8270195cc6e5dc6f03211eae8b764a77c4a8155ad52374b5377cf9193,pass,
SFX-005,音效,sound_effect,medium,mostly_non_speech,15.0,SFX-005_medium_15s.wav,efb3b0a982f83440f2e7ca35447f6118a3a7eaec9f093d3565594668ba796652,pass,
SPK-008,角色对白、旁白,dialogue_narration,medium,en,15.0,SPK-008_medium_15s.wav,3a0609bad741d693bdb529e5257fa258e60a79bcf7293b775b76d3f1917a280e,pass,
STM-I-004,人声、乐器单轨,instrument_stem_candidate,medium,unknown_or_music,15.0,STM-I-004_medium_15s.wav,2ca7b260246a70a3685eca7a341189d865deb901edde933c639193e309cedfb0,pass,
ACT-015,动作表演,action_performance,hard,mostly_non_speech,26.0,ACT-015_hard_26s.wav,ff24479ebb511bae68dbe3bdfaf2ae31bc70ec389d6c41838ddd83f010db747d,pass,
EMO-015,情绪表演类,emotion_performance,hard,en,30.0,EMO-015_hard_30s.wav,331db7a922eebee28056136236d5828c03c9385024d4819edd412c003e37bf7d,pass,
MUS-016,音乐,music,hard,unknown_or_music,30.0,MUS-016_hard_30s.wav,25edcefab40cde899de63c4b8eadd71bc356cfcebb84de79f86b1c6edd9357b8,pass,
SFX-009,音效,sound_effect,hard,mostly_non_speech,26.0,SFX-009_hard_26s.wav,154da054a5ca7ce67bcc261ed65acbaff8a41fcc0e4f6639703237262876fb24,pass,
SPK-010,角色对白、旁白,dialogue_narration,medium,en,15.0,SPK-010_medium_15s.wav,0f9ccea3859747d9b4e06e02c779c15df391f522808373f360d0df04287a2d6f,pass,
STM-V-001,人声、乐器单轨,vocal_stem,simple,en,15.0,STM-V-001_simple_15s.wav,fb4809305c8c3402e8b823b0477b3c89418f1f611d87a3e6facfb3a36e61fc1f,pass,
ACT-019,动作表演,action_performance,hard,mostly_non_speech,30.0,ACT-019_hard_30s.wav,719c5f9e37868f8adcfdc719c2016a80d13140c3fdaf75650fcbf9a4942e3d3e,pass,
EMO-018,情绪表演类,emotion_performance,hard,en,30.0,EMO-018_hard_30s.wav,9cc0452469277174a5889bd1b453e4cd58d5d8106fd4cf39d12571ad7f96fccd,pass,
MUS-020,音乐,music,hard,unknown_or_music,30.0,MUS-020_hard_30s.wav,b082069f891e892189027a2db86b96058a24b8064ede81188d913bb2f96a7fc3,pass,
SFX-010,音效,sound_effect,hard,mostly_non_speech,29.0,SFX-010_hard_29s.wav,f25495bf9040b23255ad757681f28d0503319b4cca81510ac9880a6a2007b9dc,pass,
SPK-016,角色对白、旁白,dialogue_narration,hard,en,30.0,SPK-016_hard_30s.wav,75d1d2ccda7dbe88221799b7a1de28b5c81e7c6e9d4b24a81625d948df6fce98,pass,
STM-V-004,人声、乐器单轨,vocal_stem,hard,en,30.0,STM-V-004_hard_30s.wav,e99d4c040c0fc04c52702bee97c729590c09b4438bd8d11f39a2f192518b1c1d,pass,
